first_t,id,last_t,last_x,last_z,updates
0.0,0xa0,0.0,-4329.6,2753.24,590
0.0,0xa1,0.0,-4046.21,2753.24,660
0.0,0xa2,0.0,-4117.68,2753.24,397
0.0,0xa4,0.0,-4078.7,2756.54,56
0.0,0xa5,0.0,-7657.0,2753.24,95
0.0,0xa6,0.0,-7546.35,2753.24,266
0.0,0xa7,0.0,-7724.86,2753.24,182
0.0,0xa8,0.0,-6556.48,2757.47,84
0.0,0xa9,0.0,-4996.97,2753.24,342
0.0,0xaa,0.0,-4014.92,2753.24,46
0.0,0xab,0.0,-3975.65,2770.8,97
0.0,0xac,0.0,4212.73,2056.06,91
0.0,0xad,0.0,-1970.03,506.07,25
0.0,0xae,0.0,-6854.6,2766.22,74
0.0,0xaf,0.0,-6321.34,2753.24,67
0.0,0xb0,0.0,-571.42,2066.86,490
0.0,0xb1,0.0,-8428.21,3268.89,341
0.0,0xb2,0.0,-9114.71,3253.44,473
0.0,0xb3,0.0,2452.91,2056.06,136
0.0,0xb4,0.0,-6734.79,2753.24,513
0.0,0xb5,0.0,-6551.13,2753.24,453
0.0,0xb6,0.0,-8766.14,3264.2,199
0.0,0xb7,0.0,-8136.66,3253.24,737
0.0,0xb8,0.0,-4160.63,2753.24,323
0.0,0xb9,0.0,1773.78,2056.06,341
0.0,0xba,0.0,-6519.86,2753.24,517
0.0,0xbb,0.0,-6303.95,2753.24,166
0.0,0xbc,0.0,4158.25,2056.06,143
0.0,0xbd,0.0,4352.94,2056.06,159
0.0,0xbe,0.0,1706.08,2066.16,369
0.0,0xbf,0.0,1588.32,2067.99,439
0.0,0xc0,0.0,6168.69,11.63,42
0.0,0xc2,0.0,-2761.26,2056.06,395
0.0,0xc3,0.0,3911.62,2056.06,175
0.0,0xc4,0.0,-10417.73,2056.06,579
0.0,0xc5,0.0,-10321.75,2056.06,653
0.0,0xc6,0.0,5591.47,17.11,127
0.0,0xc7,0.0,-5214.48,2062.62,66
0.0,0xc8,0.0,-13239.93,2056.06,410
0.0,0xc9,0.0,-11811.48,2067.08,177
0.0,0xca,0.0,-11337.68,2066.06,222
0.0,0xcb,0.0,-11878.01,2066.06,284
0.0,0xcc,0.0,-10924.37,2063.45,370
0.0,0xcd,0.0,-10778.05,2065.88,508
0.0,0xce,0.0,-13264.08,2056.06,168
0.0,0xcf,0.0,-13505.44,2056.06,150
0.0,0xd0,0.0,-13140.2,2056.06,161
0.0,0xd1,0.0,4525.65,11.63,28
0.0,0xd2,0.0,4394.34,11.63,85
0.0,0xd3,0.0,-10457.17,2063.64,174
0.0,0xd4,0.0,-10770.81,2056.06,328
0.0,0xd5,0.0,-10581.38,2056.06,315
0.0,0xd6,0.0,-11734.38,2056.06,84
0.0,0xd7,0.0,-12571.21,2063.05,365
0.0,0xd8,0.0,-7373.95,2062.27,245
0.0,0xd9,0.0,-7294.56,2060.87,469
0.0,0xdb,0.0,-10668.23,2056.06,85
0.0,0xdc,0.0,-5192.91,2069.57,320
0.0,0xdd,0.0,-5673.59,2066.06,238
0.0,0xde,0.0,-5651.64,2066.48,176
0.0,0xdf,0.0,-7066.19,2059.56,184
0.0,0xe0,0.0,-5453.89,2069.62,113
0.0,0xe1,0.0,-7863.19,2056.06,129
0.0,0xe2,0.0,-12805.11,2057.05,205
0.0,0xe3,0.0,-12593.6,2065.97,110
0.0,0xe4,0.0,-5466.5,2084.07,146
0.0,0xe5,0.0,-5317.89,2068.6,115
0.0,0xe6,0.0,-5222.78,2073.96,118
0.0,0xe7,0.0,-4980.96,2066.06,83
0.0,0xea,0.0,-6809.97,2066.06,26
0.0,0xeb,0.0,-7120.7,2066.06,56
