i,rot,t,x,z
73,-0.9999997615814209,0.0,9741.0029296875,872.1499633789062
98,-0.9999997615814209,0.0,9741.0029296875,872.1499633789062
103,-0.9999997615814209,0.0,9741.0029296875,872.1499633789062
106,1.0000003576278687,0.0,9741.0029296875,872.1499633789062
107,1.0000003576278687,0.0,9741.0029296875,872.1499633789062
109,0.9999997615814209,0.0,9741.0029296875,872.1499633789062
110,1.0000003576278687,0.0,9741.0029296875,872.1499633789062
111,1.0000003576278687,0.0,9741.0029296875,872.1499633789062
112,1.0000003576278687,0.0,9741.0029296875,872.1499633789062
113,-1.0000003576278687,0.0,9741.0029296875,872.1499633789062
114,-1.0000003576278687,0.0,9741.0029296875,872.1499633789062
115,-0.7071068286895752,0.0,9715.0771484375,872.1499633789062
116,-3.5762795391747204e-07,0.0,9666.470703125,872.1499633789062
117,-7.152559078349441e-07,0.0,9614.1044921875,872.1499633789062
118,1.7881397695873602e-07,0.0,9624.6748046875,872.1499633789062
119,-5.96046660916727e-08,0.0,9685.4287109375,872.1499633789062
120,1.7881397695873602e-07,0.0,9747.4443359375,872.1499633789062
121,1.7881397695873602e-07,0.0,9810.4892578125,872.1499633789062
122,1.7881397695873602e-07,0.0,9870.75,872.1499633789062
123,4.203895392974451e-45,0.0,9896.552734375,872.1499633789062
124,5.96046660916727e-08,0.0,9862.1572265625,872.1499633789062
126,-1.7881397695873602e-07,0.0,9801.1416015625,872.1499633789062
127,-0.7071067094802856,0.0,9748.455078125,872.1499633789062
128,-0.7071067094802856,0.0,9704.3857421875,872.1499633789062
129,-0.7071067094802856,0.0,9661.0869140625,872.1499633789062
130,-1.0000003576278687,0.0,9622.216796875,872.1499633789062
131,-0.7071067094802856,0.0,9664.6337890625,872.1499633789062
132,1.7881397695873602e-07,0.0,9712.6484375,872.1499633789062
133,1.7881397695873602e-07,0.0,9773.6484375,872.1499633789062
134,1.7881397695873602e-07,0.0,9835.1474609375,872.1499633789062
135,1.7881397695873602e-07,0.0,9895.8349609375,872.1499633789062
136,4.203895392974451e-45,0.0,9901.7353515625,872.1499633789062
137,5.96046660916727e-08,0.0,9847.53125,872.1499633789062
138,0.7071067094802856,0.0,9795.751953125,872.1499633789062
139,0.9999997615814209,0.0,9788.6103515625,872.1499633789062
140,1.0000003576278687,0.0,9788.6103515625,872.1499633789062
144,-0.7071065902709961,0.0,9782.498046875,872.1499633789062
145,-3.5762795391747204e-07,0.0,9738.4951171875,872.1499633789062
146,-1.7881397695873602e-07,0.0,9677.5341796875,872.1499633789062
147,-1.7881397695873602e-07,0.0,9614.712890625,872.1499633789062
148,-9.536746574667632e-07,0.0,9584.1220703125,872.1499633789062
149,3.5762795391747204e-07,0.0,9613.9638671875,872.1499633789062
150,3.5762795391747204e-07,0.0,9675.6748046875,872.1499633789062
151,1.7881397695873602e-07,0.0,9736.0849609375,872.1499633789062
152,-1.0000003576278687,0.0,9779.380859375,872.1499633789062
153,-0.9999997615814209,0.0,9779.400390625,872.1499633789062
154,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
155,-1.0000003576278687,0.0,9779.400390625,872.1499633789062
